,COUNTY,JUDGES
264,"Superior Court of California, County of Los Angeles",Hon. Armenui A. Ashvanian
265,"Superior Court of California, County of Los Angeles",Hon. Monica Bachner
266,"Superior Court of California, County of Los Angeles",Hon. Paul A. Bacigalupo
267,"Superior Court of California, County of Los Angeles",Hon. Neetu S Badhan-Smith
268,"Superior Court of California, County of Los Angeles",Hon. Henry T. Barela
269,"Superior Court of California, County of Los Angeles",Hon. Craig S. Barnes
270,"Superior Court of California, County of Los Angeles",Hon. Mario Barrera
271,"Superior Court of California, County of Los Angeles",Hon. Teresa A. Beaudet
272,"Superior Court of California, County of Los Angeles",Hon. Mitchell L. Beckloff
273,"Superior Court of California, County of Los Angeles",Hon. Lori R. Behar
274,"Superior Court of California, County of Los Angeles","Hon. Francis B. Bennett, II"
275,"Superior Court of California, County of Los Angeles",Hon. Kerry R. Bensinger
276,"Superior Court of California, County of Los Angeles",Hon. Elihu M. Berle
277,"Superior Court of California, County of Los Angeles",Hon. Margaret Miller Bernal
278,"Superior Court of California, County of Los Angeles",Hon. Nicole C. Bershon
279,"Superior Court of California, County of Los Angeles",Hon. Brett Bianco
280,"Superior Court of California, County of Los Angeles",Hon. James N. Bianco
281,"Superior Court of California, County of Los Angeles","Hon. George F Bird, Jr."
282,"Superior Court of California, County of Los Angeles",Hon. Julie Fox Blackshaw
283,"Superior Court of California, County of Los Angeles",Hon. Steven D. Blades
284,"Superior Court of California, County of Los Angeles",Hon. Kathleen Blanchard
285,"Superior Court of California, County of Los Angeles",Hon. Stanley Blumenfeld
286,"Superior Court of California, County of Los Angeles",Hon. Mark A. Borenstein
287,"Superior Court of California, County of Los Angeles",Hon. Keith H. Borjón
288,"Superior Court of California, County of Los Angeles",Hon. Terry A. Bork
289,"Superior Court of California, County of Los Angeles",Hon. Gia G. Bosley
290,"Superior Court of California, County of Los Angeles",Hon. Beverly L. Bourne
291,"Superior Court of California, County of Los Angeles",Hon. Stephanie M. Bowick
292,"Superior Court of California, County of Los Angeles",Hon. Joseph A. Brandolino
293,"Superior Court of California, County of Los Angeles",Hon. Deborah S. Brazil
294,"Superior Court of California, County of Los Angeles",Hon. Kevin C. Brazile
295,"Superior Court of California, County of Los Angeles",Hon. Robert Broadbelt III
296,"Superior Court of California, County of Los Angeles",Hon. Bruce E. Brodie
297,"Superior Court of California, County of Los Angeles",Hon. Cathryn F. Brougham
298,"Superior Court of California, County of Los Angeles",Hon. David C. Brougham
299,"Superior Court of California, County of Los Angeles",Hon. Irma J. Brown
