,State,County,Cases,Deaths,Date_of_minig
460,IN,Whitley County,<20,<20,2020-04-30
461,IL,Fulton County,<20,0,2020-04-30
462,IA,Jackson County,<20,0,2020-04-30
463,CO,Boulder County,543,33,2020-04-30
464,FL,Miami-Dade County,11831,324,2020-04-30
465,IN,LaGrange County,24,<20,2020-04-30
466,KS,Barber County,<20,0,2020-04-30
467,FL,Monroe County,78,<20,2020-04-30
468,AR,Madison County,<20,0,2020-04-30
469,KY,Anderson County,<20,<20,2020-04-30
470,CT,New London County,530,34,2020-04-30
471,IN,LaPorte County,199,<20,2020-04-30
472,IA,Grundy County,<20,0,2020-04-30
473,IL,Shelby County,<20,0,2020-04-30
474,IN,Jackson County,125,0,2020-04-30
475,IN,Marshall County,28,<20,2020-04-30
476,IL,Iroquois County,20,0,2020-04-30
477,AR,Montgomery County,<20,0,2020-04-30
478,GA,Clarke County,142,<20,2020-04-30
479,GA,Lumpkin County,37,<20,2020-04-30
480,IN,Vermillion County,<20,0,2020-04-30
481,CO,Garfield County,89,<20,2020-04-30
482,KS,Labette County,21,0,2020-04-30
483,GA,Taylor County,<20,<20,2020-04-30
484,KY,Henry County,<20,0,2020-04-30
485,IA,Jefferson County,<20,0,2020-04-30
486,GA,Telfair County,25,0,2020-04-30
487,KS,Miami County,<20,0,2020-04-30
488,FL,Nassau County,53,0,2020-04-30
489,IL,Lee County,22,0,2020-04-30
490,IN,Martin County,<20,0,2020-04-30
491,IA,Webster County,<20,0,2020-04-30
492,KS,Chautauqua County,<20,0,2020-04-30
493,GA,Lanier County,<20,<20,2020-04-30
494,IA,Woodbury County,695,<20,2020-04-30
495,IN,Lake County,1715,57,2020-04-30
496,CO,Delta County,34,<20,2020-04-30
497,KS,Barton County,<20,0,2020-04-30
498,IL,Jackson County,75,<20,2020-04-30
499,IA,Worth County,<20,0,2020-04-30
500,KS,Cherokee County,<20,0,2020-04-30
501,KS,Statewide Unallocated,0,0,2020-04-30
502,KS,Montgomery County,<20,<20,2020-04-30
503,GA,Meriwether County,53,<20,2020-04-30
504,IL,Sangamon County,159,<20,2020-04-30
505,IL,Wayne County,<20,0,2020-04-30
506,IA,Ida County,0,0,2020-04-30
507,GA,Monroe County,23,<20,2020-04-30
508,FL,Okeechobee County,<20,0,2020-04-30
509,DE,Sussex County,2114,51,2020-04-30
510,FL,Marion County,160,<20,2020-04-30
511,KS,Anderson County,0,0,2020-04-30
512,GA,Turner County,66,<20,2020-04-30
513,AL,Jefferson County,861,41,2020-04-30
514,KS,Meade County,<20,0,2020-04-30
515,CO,El Paso County,884,69,2020-04-30
516,IA,Kossuth County,<20,0,2020-04-30
517,GA,Washington County,38,<20,2020-04-30
518,IL,Lawrence County,<20,0,2020-04-30
519,KY,Todd County,<20,0,2020-04-30
520,IA,Lyon County,<20,0,2020-04-30
521,IL,Logan County,<20,0,2020-04-30
522,KY,Boyd County,33,<20,2020-04-30
523,GA,White County,56,0,2020-04-30
524,KY,Bracken County,<20,0,2020-04-30
525,AK,Valdez-Cordova Census Area,0,0,2020-04-30
526,AR,Prairie County,<20,0,2020-04-30
527,IL,Brown County,0,0,2020-04-30
528,IA,Jasper County,109,0,2020-04-30
529,GA,Elbert County,<20,0,2020-04-30
530,AR,Saline County,57,<20,2020-04-30
531,KS,Morton County,<20,0,2020-04-30
532,GA,Chatham County,218,<20,2020-04-30
533,GA,Union County,34,<20,2020-04-30
534,GA,Peach County,44,<20,2020-04-30
535,GA,Chattahoochee County,<20,0,2020-04-30
536,IN,Dearborn County,90,<20,2020-04-30
537,KY,Bell County,0,0,2020-04-30
538,FL,Flagler County,131,<20,2020-04-30
539,GA,Upson County,208,<20,2020-04-30
540,GA,McDuffie County,44,<20,2020-04-30
541,FL,Franklin County,<20,0,2020-04-30
542,KS,Lane County,0,0,2020-04-30
543,IL,Clay County,<20,0,2020-04-30
544,KS,Leavenworth County,183,<20,2020-04-30
545,GA,Polk County,49,0,2020-04-30
546,IL,Knox County,36,0,2020-04-30
547,AR,Van Buren County,27,<20,2020-04-30
548,IA,Linn County,632,36,2020-04-30
549,AL,Montgomery County,302,<20,2020-04-30
550,IL,Lake County,3192,123,2020-04-30
551,ID,Blaine County,497,<20,2020-04-30
552,KY,Taylor County,<20,0,2020-04-30
553,IN,Fountain County,<20,<20,2020-04-30
554,IA,Madison County,<20,<20,2020-04-30
